State_Abbrev,year,State_Name,pop_millions,percapita_health_spending_thousands,medicaid_enroll_percapita,prev2years_drugusecalc,prev2years_aud,prev2years_marijuana,Gender_Male,Ethnicity_HispanicorLatino,Race_White,Insurance_Uninsured,Unemployment,Income,Forprofit,Government,Nonprofit,count_tx_total
IA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,8,152,188
IA,2022,Iowa,3.20282,NA,NA,0.9081,6.1309,6.7992,50.20242042,6.930286576,89.82495641,4.1,2.8,79350,30,6,138,174
IA,2023,Iowa,3.218414,NA,NA,0.927366508,11.70200955,12.32745973,50.14162751,7.43934214,89.63733753,NA,2.9,80860,36,4,159,199
ID,2015,Idaho,1.652495,6.843,0.144024642,0.63815,7.0659,6.3367,49.6914796,9.70917937,94.51881805,11.3,3.9,64850,101,15,16,132
ID,2016,Idaho,1.684036,6.974,0.150234318,0.69335,6.4199,6.3242,49.6914796,9.70917937,94.51881805,10.3,3.7,70440,113,15,15,143
ID,2017,Idaho,1.719745,7.257,0.152348168,0.83175,5.8976,7.0716,49.6914796,9.70917937,94.51881805,10.7,3.2,72810,99,13,12,124
ID,2018,Idaho,1.752074,7.444,0.139834276,0.90455,6.3295,7.7751,49.6914796,9.70917937,94.51881805,11.1,2.9,70450,104,15,14,133
ID,2019,Idaho,1.78906,7.723,0.133030754,0.9055,5.9095,8.4462,49.80558472,10.91827847,93.76804699,10.5,2.9,78000,101,12,11,124
ID,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,14,11,110
ID,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,20,13,132
ID,2022,Idaho,1.944299,NA,NA,0.8945,5.8586,8.8917,50.39310832,13.50776392,92.62333338,8.2,2.9,75460,86,14,15,115
ID,2023,Idaho,1.971122,NA,NA,1.045872103,11.879408,12.11152371,50.31027227,13.82676261,92.46017002,NA,3.2,73910,79,11,15,105
IL,2015,Illinois,12.85958,8.3,0.252574345,1.07095,6.5777,7.7349,48.48636082,14.00712723,78.77227461,7.1,6,75900,263,25,366,654
IL,2016,Illinois,12.82171,8.63,0.25605009,1.1438,6.4276,8.0563,48.48636082,14.00712723,78.77227461,6.5,5.9,76440,275,32,368,675
IL,2017,Illinois,12.77989,8.849,0.254853524,1.0699,5.9552,8.0263,48.48636082,14.00712723,78.77227461,6.9,5,80730,263,26,344,633
IL,2018,Illinois,12.72468,9.118,0.248414891,1.18395,6.6494,9.0108,48.48636082,14.00712723,78.77227461,7.1,4.4,84140,266,29,384,679
IL,2019,Illinois,12.66702,9.496,0.236046047,1.3359,6.4306,9.9303,48.5872115,15.36589167,77.65431554,7.3,4,87950,287,39,449,775
IL,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,265,40,408,713
IL,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,225,50,415,690
IL,2022,Illinois,12.62182,NA,NA,1.26905,5.9316,10.7173,49.50499252,18.30964188,76.08155821,6.6,4.6,81120,229,43,396,668
