"State_Abbrev","year","State_Name","pop_thousands","percapita_health_spending","medicaid_enrollment","medicaid_enroll_percapita","cocaine_yr","marijuana_month","aud_yr","heroin_yr","binge_drinking","illicit_druguse","needing_tx","sud","start_year","percapita_health_spending_thousands","pop_millions","prev2years_bingedrinking","prev2years_druguse","prev2years_sud","prev2years_needingtx","prev2years_aud","prev2years_marijuana","druguse_calc","prev2years_drugusecalc","prev2years_cocaine","prev2years_heroin","tx_percapita","Gender_Female","Gender_Male","Ethnicity_HispanicorLatino","Ethnicity_NotHispanicorLatino","Race_AmericanIndianorAlaskaNative","Race_Asian","Race_BlackorAfricanAmerican","Race_Morethanonerace","Race_NativeHawaiianorOtherPacificIslander","Race_White","Insurance_Employer","Insurance_Non.Group","Insurance_Medicaid","Insurance_Medicare","Insurance_Military","Insurance_Uninsured","Insurance_Total","Population","Unemployment","Income","count_tx"
"AR","2015","Arkansas",2980,7620,974,0.326845637583893,1.1311,7.2504,5.1063,0.1753,NA,NA,NA,NA,"2014",7.62,2.98,NA,NA,NA,NA,5.5113,6.754,0.6532,0.59335,0.9845,0.2022,3.69127516778524e-06,51.5291923804904,48.4708076195096,5.47138641652685,94.5286135834731,0.899156502182593,1.46582676689672,14.6430314926877,1.28605765493481,0.214950020455566,81.4909775628426,41.4,7,25.6,14.9,1.6,9.4,100,2979.732,5,51810,76
"AR","2016","Arkansas",2992,8079,932,0.311497326203209,1.3119,7.1321,5.2777,0.2163,21.9081,3.3066,6.2597,6.941,"2015",8.079,2.992,NA,NA,NA,NA,5.1063,7.2504,0.7641,0.6532,1.1311,0.1753,6.68449197860963e-06,51.5291923804904,48.4708076195096,5.47138641652685,94.5286135834731,0.899156502182593,1.46582676689672,14.6430314926877,1.28605765493481,0.214950020455566,81.4909775628426,42,6.8,26.7,15,1.6,8,100,2991.815,4,55080,113
"AR","2017","Arkansas",3004,8409,956,0.318242343541944,1.5834,8.4446,5.7279,0.2664,21.0637,3.7105,6.8451,7.719,"2016",8.409,3.004,21.9081,3.3066,6.941,6.2597,5.2777,7.1321,0.9249,0.7641,1.3119,0.2163,6.32490013315579e-06,51.5291923804904,48.4708076195096,5.47138641652685,94.5286135834731,0.899156502182593,1.46582676689672,14.6430314926877,1.28605765493481,0.214950020455566,81.4909775628426,41.5,6.3,27,15.5,1.7,8,100,3003.855,3.7,58660,118
"AR","2018","Arkansas",3012,8545,910,0.302124833997344,1.4938,8.9102,5.6511,0.2581,21.5368,3.7241,7.1127,8.0178,"2017",8.545,3.012,21.0637,3.7105,7.719,6.8451,5.7279,8.4446,0.87595,0.9249,1.5834,0.2664,7.63612217795485e-06,51.5291923804904,48.4708076195096,5.47138641652685,94.5286135834731,0.899156502182593,1.46582676689672,14.6430314926877,1.28605765493481,0.214950020455566,81.4909775628426,41.9,5.6,27.3,15.6,1.4,8.3,100,3012.161,3.7,57540,144
"AR","2019","Arkansas",3021,8853,837,0.277060575968222,1.1926,8.7341,5.2442,0.2349,22.8703,2.9804,6.5367,7.1638,"2018",8.853,3.021,21.5368,3.7241,8.0178,7.1127,5.6511,8.9102,0.71375,0.87595,1.4938,0.2581,1.22476001324065e-05,51.5556967635024,48.4443032364976,6.38173221340295,93.618267786597,0.993159365909259,1.66523830134312,14.9476563025398,1.53349531053582,0.326857119208438,80.5335936004635,42,5.4,26.2,15.9,1.4,9.1,100,3020.985,3.5,62120,167
"AZ","2015","Arizona",6833,6885,1590,0.232694277769647,2.4404,8.5918,7.0632,0.5893,NA,NA,NA,NA,"2014",6.885,6.833,NA,NA,NA,NA,8.0634,8.8497,1.51485,1.35935,2.3836,0.3351,1.90253183082102e-05,50.7133102467947,49.2866897532053,26.1107356391961,73.8892643608039,4.75664435765395,3.36244071364917,4.36762222607662,1.79763990980699,0.248828228576669,85.4668245642366,43.3,7,22,14.9,1.7,11.1,100,6832.81,6.1,63250,341
"AZ","2016","Arizona",6945,7189,1736,0.24996400287977,2.2014,7.4881,5.6647,0.4973,24.4929,4.045,7.5198,7.7819,"2015",7.189,6.945,NA,NA,NA,NA,7.0632,8.5918,1.34935,1.51485,2.4404,0.5893,2.08783297336213e-05,50.7133102467947,49.2866897532053,26.1107356391961,73.8892643608039,4.75664435765395,3.36244071364917,4.36762222607662,1.79763990980699,0.248828228576669,85.4668245642366,43.3,6.6,23.5,15.1,1.6,10,100,6944.767,5.5,68510,358
"AZ","2017","Arizona",7048,7539,1775,0.251844494892168,2.2656,8.5933,5.8779,0.3804,25.0442,3.577,7.4089,7.7291,"2016",7.539,7.048,24.4929,4.045,7.7819,7.5198,5.6647,7.4881,1.323,1.34935,2.2014,0.4973,1.90124858115778e-05,50.7133102467947,49.2866897532053,26.1107356391961,73.8892643608039,4.75664435765395,3.36244071364917,4.36762222607662,1.79763990980699,0.248828228576669,85.4668245642366,44.9,5.8,22.3,15.3,1.6,10,100,7048.088,5,70390,341
"AZ","2018","Arizona",7164,7816,1700,0.237297599106644,2.1175,11.4082,5.7039,0.273,24.9064,3.1906,6.9557,7.3594,"2017",7.816,7.164,25.0442,3.577,7.7291,7.4089,5.8779,8.5933,1.19525,1.323,2.2656,0.3804,2.23338916806253e-05,50.7133102467947,49.2866897532053,26.1107356391961,73.8892643608039,4.75664435765395,3.36244071364917,4.36762222607662,1.79763990980699,0.248828228576669,85.4668245642366,44.5,5.4,22.4,15.6,1.5,10.6,100,7164.228,4.8,71990,407
"AZ","2019","Arizona",7292,8145,1705,0.233817882611081,1.9538,11.514,5.1012,0.3952,23.1032,3.5299,6.8102,7.1089,"2018",8.145,7.292,24.9064,3.1906,7.3594,6.9557,5.7039,11.4082,1.1745,1.19525,2.1175,0.273,2.61930883159627e-05,50.6977909834064,49.3022090165936,27.9524703563608,72.0475296436392,4.72795602780545,3.82726655523533,4.93101380573425,2.14446924629512,0.270224540522708,84.0990698244072,45.1,5.2,21,16.1,1.5,11.1,100,7291.843,4.8,80500,446
