"State_Abbrev","year","State_Name","pop_millions","percapita_health_spending_thousands","medicaid_enroll_percapita","prev2years_drugusecalc","prev2years_aud","prev2years_marijuana","Gender_Male","Ethnicity_HispanicorLatino","Race_White","Insurance_Uninsured","Unemployment","Income","Forprofit","Government","Nonprofit","count_tx_total","overdose_rate","overdose_rate_lag"
"GA","2017","Georgia",10.417,7.605,0.186042046654507,1.12995,4.7936,7.3114,48.0553460563499,7.48238315617487,64.0431374067098,13.4,4.8,68370,156,60,76,292,14.7,13.3
"GA","2018","Georgia",10.519,7.844,0.190322273980416,1.0541,4.7759,6.8886,48.0553460563499,7.48238315617487,64.0431374067098,13.8,4,64520,177,66,89,332,13.2,14.7
"GA","2019","Georgia",10.628,8.243,0.190252164094844,1.0829,4.8572,8.4711,47.906728628604,8.26830403634492,61.6240742981853,13.4,3.6,64500,199,66,93,358,13.1,13.2
"HI","2015","Hawaii",1.423,7.747,0.22487702037948,0.88905,7.1933,7.9244,49.8770824166033,7.78326502558359,28.272316996447,3.8,3.4,78090,21,6,142,169,11.3,10.9
"HI","2016","Hawaii",1.429,8.041,0.247725682295311,1.1114,5.6379,8.1108,49.8770824166033,7.78326502558359,28.272316996447,3.5,2.9,86550,26,6,142,174,12.8,11.3
"HI","2017","Hawaii",1.426,8.496,0.253155680224404,1.17125,5.2548,8.3243,49.8770824166033,7.78326502558359,28.272316996447,3.8,2.2,86780,23,7,138,168,13.8,12.8
"HI","2018","Hawaii",1.423,8.932,0.245959241040056,1.127,5.5091,8.3134,49.8770824166033,7.78326502558359,28.272316996447,3.9,2.4,92590,27,6,135,168,14.3,13.8
"HI","2019","Hawaii",1.416,9.555,0.236581920903955,1.27105,5.5463,9.1104,49.7334697490405,8.56552075083587,27.4676669688836,4.1,2.5,100200,29,5,133,167,15.9,14.3
"IA","2015","Iowa",3.123,8.358,0.212616074287544,0.76925,6.5925,5.0021,49.1515300253994,4.21170416735132,93.5731456602428,4.9,3.7,73660,23,10,118,151,10.3,8.8
"IA","2016","Iowa",3.133,8.464,0.224066390041494,0.62685,6.7489,4.7242,49.1515300253994,4.21170416735132,93.5731456602428,4,3.6,70900,25,11,127,163,10.6,10.3
"IA","2017","Iowa",3.144,8.525,0.225508905852417,0.7308,6.8289,5.4809,49.1515300253994,4.21170416735132,93.5731456602428,4.4,3.1,74840,27,8,128,163,11.5,10.6
"IA","2018","Iowa",3.15,8.812,0.226031746031746,0.88415,7.5784,6.8031,49.1515300253994,4.21170416735132,93.5731456602428,4.9,2.6,79430,31,8,128,167,9.6,11.5
"IA","2019","Iowa",3.16,9.193,0.225949367088608,0.92925,7.1763,7.2106,49.3743808066406,5.06861556898343,91.941325658797,4.7,2.7,75240,36,6,145,187,11.5,9.6
"ID","2015","Idaho",1.652,6.843,0.14406779661017,0.63815,7.0659,6.3367,49.6914795962355,9.70917936953644,94.5188180541069,11.3,3.9,62490,101,15,16,132,14.2,13.7
"ID","2016","Idaho",1.684,6.974,0.150237529691211,0.69335,6.4199,6.3242,49.6914795962355,9.70917936953644,94.5188180541069,10.3,3.7,67870,113,15,15,143,15.2,14.2
"ID","2017","Idaho",1.72,7.257,0.152325581395349,0.83175,5.8976,7.0716,49.6914795962355,9.70917936953644,94.5188180541069,10.7,3.2,70160,99,13,12,124,14.4,15.2
"ID","2018","Idaho",1.752,7.444,0.139840182648402,0.90455,6.3295,7.7751,49.6914795962355,9.70917936953644,94.5188180541069,11.1,2.9,67880,104,15,14,133,14.6,14.4
"ID","2019","Idaho",1.789,7.723,0.133035215204025,0.9055,5.9095,8.4462,49.8055847224045,10.9182784665131,93.7680469877937,10.5,2.9,75160,101,12,11,124,15.1,14.6
"IL","2015","Illinois",12.86,8.3,0.252566096423017,1.07095,6.5777,7.7349,48.4863608244435,14.0071272273092,78.7722746116184,7.1,6,73130,263,25,366,654,14.1,13.1
"IL","2016","Illinois",12.822,8.63,0.256044298861332,1.1438,6.4276,8.0563,48.4863608244435,14.0071272273092,78.7722746116184,6.5,5.9,73650,275,32,368,675,18.9,14.1
"IL","2017","Illinois",12.78,8.849,0.254851330203443,1.0699,5.9552,8.0263,48.4863608244435,14.0071272273092,78.7722746116184,6.9,4.9,77790,263,26,344,633,21.6,18.9
