"State_Abbrev","year","State_Name","pop_millions","percapita_health_spending_thousands","medicaid_enroll_percapita","prev2years_drugusecalc","prev2years_aud","prev2years_marijuana","Gender_Male","Ethnicity_HispanicorLatino","Race_White","Insurance_Uninsured","Unemployment","Income","Forprofit","Government","Nonprofit","count_tx_total"
"CT","2015","Connecticut",3.589,10.294,0.254667038172193,1.46715,7.1792,8.5585,48.0842173666058,12.6442293677974,83.2165326367713,6.1,5.6,91570,17,13,185,215
"CT","2016","Connecticut",3.58,10.705,0.276256983240223,1.77715,7.3222,9.7221,48.0842173666058,12.6442293677974,83.2165326367713,4.9,4.9,94540,18,13,193,224
"CT","2017","Connecticut",3.575,10.989,0.28979020979021,1.7177,7.1776,9.4982,48.0842173666058,12.6442293677974,83.2165326367713,5.6,4.4,90930,16,13,181,210
"CT","2018","Connecticut",3.575,11.378,0.297342657342657,1.86055,6.444,10.8581,48.0842173666058,12.6442293677974,83.2165326367713,5.3,3.9,87340,20,12,188,220
"CT","2019","Connecticut",3.566,11.831,0.304823331463825,1.3213,6.387,12.4223,48.1935660232596,14.7001735275696,81.1655303652111,5.9,3.6,103200,18,12,190,220
"CT","2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,11,178,210
"CT","2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,22,208,260
"CT","2022","Connecticut",NA,NA,NA,1.25285,6.6041,12.8116,48.9838274449459,18.1726901816086,78.3598003973851,5.2,4.1,94340,25,19,177,221
"CT","2023","Connecticut",NA,NA,NA,1.32853743883731,12.8296423996005,15.6485369202659,NA,NA,NA,NA,3.2,92240,24,11,135,170
"DC","2015","District of Columbia",0.677,12.5,0.384047267355982,2.0886,10.1963,12.7153,46.8390090928299,9.31913126962298,46.2307199015469,3.7,6.9,88030,7,1,25,33
"DC","2016","District of Columbia",0.688,12.851,0.390988372093023,1.99895,8.5512,12.1021,46.8390090928299,9.31913126962298,46.2307199015469,4,6.2,88390,6,1,27,34
"DC","2017","District of Columbia",0.697,13.131,0.403156384505022,2.05425,8.9087,14.4135,46.8390090928299,9.31913126962298,46.2307199015469,3.6,6.1,99470,5,2,20,27
"DC","2018","District of Columbia",0.704,13.487,0.399147727272727,2.4769,9.4754,17.6678,46.8390090928299,9.31913126962298,46.2307199015469,3.2,5.7,102900,5,2,17,24
"DC","2019","District of Columbia",0.708,13.934,0.396892655367232,2.59005,10.5659,17.0902,46.7161007821803,10.0089436344242,48.4016053737629,3.6,5.5,110100,6,2,18,26
"DC","2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3,19,28
"DC","2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,4,23,34
"DC","2022","District of Columbia",NA,NA,NA,2.42455,9.438,16.8022,47.5856761580404,11.7461517736598,46.2474862422466,2.9,4.7,105700,8,3,22,33
"DC","2023","District of Columbia",NA,NA,NA,1.65453973662163,18.1998931108391,21.8579102716241,NA,NA,NA,NA,4.8,111000,14,1,14,29
"DE","2015","Delaware",0.942,10.714,0.250530785562633,1.597,6.5291,8.2263,47.7182212033493,7.00020260275151,73.3828553666138,5.6,4.8,72560,12,2,24,38
"DE","2016","Delaware",0.95,10.933,0.250526315789474,1.7515,6.2066,8.1095,47.7182212033493,7.00020260275151,73.3828553666138,5.8,4.5,72280,18,2,27,47
