"State_Abbrev","profit_type","year","count_tx","State_Name","pop_thousands","percapita_health_spending","medicaid_enrollment","medicaid_enroll_percapita","cocaine_yr","marijuana_month","aud_yr","heroin_yr","binge_drinking","illicit_druguse","needing_tx","sud","start_year","percapita_health_spending_thousands","pop_millions","prev2years_bingedrinking","prev2years_druguse","prev2years_sud","prev2years_needingtx","prev2years_aud","prev2years_marijuana","druguse_calc","prev2years_drugusecalc","prev2years_cocaine","prev2years_heroin","tx_percapita","Gender_Female","Gender_Male","Ethnicity_HispanicorLatino","Ethnicity_NotHispanicorLatino","Race_AmericanIndianorAlaskaNative","Race_Asian","Race_BlackorAfricanAmerican","Race_Morethanonerace","Race_NativeHawaiianorOtherPacificIslander","Race_White","Insurance_Employer","Insurance_Non.Group","Insurance_Medicaid","Insurance_Medicare","Insurance_Military","Insurance_Uninsured","Insurance_Total","Population","Unemployment","Income"
"FL","Government","2018",34,"Florida",21255,9148,3701,0.174123735591626,2.1345,9.4716,4.779,0.3046,24.4195,3.2127,6.2626,6.6763,"2017",9.148,21.255,26.3567,3.2324,7.1553,6.8424,5.5681,8.7477,1.21955,1.19445,2.0864,0.3025,1.59962361797224e-06,0.516706710118126,0.483293289881874,0.22402095757558,0.77597904242442,0.00467203653343493,0.0267417870996975,0.153049961193014,0.0133307084200469,0.000996320742250259,0.801209186011556,0.4,0.097,0.18,0.174,0.018,0.132,1,21254.93,3.6,63160
"FL","Government","2019",33,"Florida",21492,9490,3615,0.16820212171971,1.8406,10.4218,4.1714,0.2626,23.8934,3.0808,5.651,5.9793,"2018",9.49,21.492,24.4195,3.2127,6.6763,6.2626,4.779,9.4716,1.0516,1.21955,2.1345,0.3046,1.53545505304299e-06,0.516506897142551,0.483493102857448,0.249535102061416,0.750464897938584,0.00500188636180982,0.0298244492770897,0.156637794601708,0.0157892336747133,0.00109119845192593,0.791655437632753,0.403,0.095,0.174,0.18,0.017,0.131,1,21492.06,3.3,66480
"GA","Government","2015",77,"Georgia",10183,7055,1849,0.181577138367868,1.8572,7.8868,5.8573,0.1611,NA,NA,NA,NA,"2014",7.055,10.183,NA,NA,NA,NA,6.6125,7.9572,1.00915,0.8713,1.5526,0.19,7.56162231169596e-06,0.519446539436501,0.480553460563499,0.0748238315617487,0.925176168438251,0.00467401997754762,0.0372434561718021,0.303955463657709,0.0126933381032409,0.00100234802260189,0.640431374067098,0.474,0.071,0.178,0.114,0.024,0.139,1,10183.353,6.1,61450
"GA","Government","2016",65,"Georgia",10308,7353,1895,0.18383779588669,2.0777,7.3114,4.7936,0.1822,23.549,3.6352,6.2152,6.5363,"2015",7.353,10.308,NA,NA,NA,NA,5.8573,7.8868,1.12995,1.00915,1.8572,0.1611,6.3057819169577e-06,0.519446539436501,0.480553460563499,0.0748238315617487,0.925176168438251,0.00467401997754762,0.0372434561718021,0.303955463657709,0.0126933381032409,0.00100234802260189,0.640431374067098,0.475,0.074,0.179,0.118,0.024,0.129,1,10308.442,5.4,64230
"GA","Government","2017",60,"Georgia",10417,7605,1938,0.186042046654507,1.8947,6.8886,4.7759,0.2135,22.5367,3.1662,6.0396,6.3175,"2016",7.605,10.417,23.549,3.6352,6.5363,6.2152,4.7936,7.3114,1.0541,1.12995,2.0777,0.1822,5.75981568589805e-06,0.519446539436501,0.480553460563499,0.0748238315617487,0.925176168438251,0.00467401997754762,0.0372434561718021,0.303955463657709,0.0126933381032409,0.00100234802260189,0.640431374067098,0.486,0.065,0.174,0.118,0.023,0.134,1,10417.031,4.8,68370
"GA","Government","2018",66,"Georgia",10519,7844,2002,0.190322273980416,1.9837,8.4711,4.8572,0.1821,23.525,3.1688,6.3628,6.7724,"2017",7.844,10.519,22.5367,3.1662,6.3175,6.0396,4.7759,6.8886,1.0829,1.0541,1.8947,0.2135,6.27436068067307e-06,0.519446539436501,0.480553460563499,0.0748238315617487,0.925176168438251,0.00467401997754762,0.0372434561718021,0.303955463657709,0.0126933381032409,0.00100234802260189,0.640431374067098,0.486,0.057,0.174,0.122,0.023,0.138,1,10519.389,4,64520
"GA","Government","2019",66,"Georgia",10628,8243,2022,0.190252164094844,1.5624,9.552,4.9001,0.1769,23.0915,2.8928,6.2458,6.5955,"2018",8.243,10.628,23.525,3.1688,6.7724,6.3628,4.8572,8.4711,0.86965,1.0829,1.9837,0.1821,6.21001129092962e-06,0.52093271371396,0.47906728628604,0.0826830403634492,0.917316959636551,0.00495443527403285,0.044308111876696,0.31815518660787,0.0152434786751715,0.00109804458437738,0.616240742981853,0.489,0.056,0.173,0.126,0.022,0.134,1,10628.02,3.6,64500
"HI","Government","2015",6,"Hawaii",1423,7747,320,0.22487702037948,1.9917,8.1108,5.6379,0.2311,NA,NA,NA,NA,"2014",7.747,1.423,NA,NA,NA,NA,7.1933,7.9244,1.1114,0.88905,1.6486,0.1295,4.21644413211525e-06,0.501229175833967,0.498770824166033,0.0778326502558359,0.922167349744164,0.00396391023379797,0.414705925136646,0.0193504278477422,0.185574639702379,0.0936819271149643,0.28272316996447,0.545,0.051,0.179,0.134,0.053,0.038,1,1422.999,3.4,78090
"HI","Government","2016",6,"Hawaii",1429,8041,354,0.247725682295311,2.0795,8.3243,5.2548,0.263,22.0361,3.2204,6.6953,7.2334,"2015",8.041,1.429,NA,NA,NA,NA,5.6379,8.1108,1.17125,1.1114,1.9917,0.2311,4.19874037788663e-06,0.501229175833967,0.498770824166033,0.0778326502558359,0.922167349744164,0.00396391023379797,0.414705925136646,0.0193504278477422,0.185574639702379,0.0936819271149643,0.28272316996447,0.554,0.046,0.176,0.139,0.051,0.035,1,1428.885,2.9,86550
"HI","Government","2017",7,"Hawaii",1426,8496,361,0.253155680224404,1.9926,8.3134,5.5091,0.2614,21.8773,2.6866,6.4971,7.0302,"2016",8.496,1.426,22.0361,3.2204,7.2334,6.6953,5.2548,8.3243,1.127,1.17125,2.0795,0.263,4.90883590462833e-06,0.501229175833967,0.498770824166033,0.0778326502558359,0.922167349744164,0.00396391023379797,0.414705925136646,0.0193504278477422,0.185574639702379,0.0936819271149643,0.28272316996447,0.541,0.048,0.175,0.147,0.05,0.038,1,1425.763,2.2,86780
"HI","Government","2018",6,"Hawaii",1423,8932,350,0.245959241040056,2.2544,9.1104,5.5463,0.2877,24.483,2.8684,6.6909,7.1314,"2017",8.932,1.423,21.8773,2.6866,7.0302,6.4971,5.5091,8.3134,1.27105,1.127,1.9926,0.2614,4.21644413211525e-06,0.501229175833967,0.498770824166033,0.0778326502558359,0.922167349744164,0.00396391023379797,0.414705925136646,0.0193504278477422,0.185574639702379,0.0936819271149643,0.28272316996447,0.546,0.046,0.175,0.147,0.048,0.039,1,1423.102,2.4,92590
"HI","Government","2019",5,"Hawaii",1416,9555,335,0.236581920903955,2.5912,10.4668,6.3073,0.2848,24.9479,3.5317,7.6703,8.4506,"2018",9.555,1.416,24.483,2.8684,7.1314,6.6909,5.5463,9.1104,1.438,1.27105,2.2544,0.2877,3.53107344632768e-06,0.502665302509595,0.497334697490405,0.0856552075083587,0.914344792491641,0.00410411791477482,0.406641844263911,0.0220731842794635,0.196607943407789,0.0958962404452265,0.274676669688836,0.543,0.041,0.176,0.159,0.04,0.041,1,1415.615,2.5,100200
"IA","Government","2015",10,"Iowa",3123,8358,664,0.212616074287544,1.1198,4.7242,6.7489,0.1339,NA,NA,NA,NA,"2014",8.358,3.123,NA,NA,NA,NA,6.5925,5.0021,0.62685,0.76925,1.3582,0.1803,3.2020493115594e-06,0.508484699746006,0.491515300253994,0.0421170416735132,0.957882958326487,0.00408299642769493,0.0215368979787351,0.0286249054333928,0.00920891838611393,0.00081482517163496,0.935731456602428,0.542,0.076,0.182,0.143,0.009,0.049,1,3122.541,3.7,73660
"IA","Government","2016",11,"Iowa",3133,8464,702,0.224066390041494,1.251,5.4809,6.8289,0.2106,31.5088,2.7726,7.5606,8.0335,"2015",8.464,3.133,NA,NA,NA,NA,6.7489,4.7242,0.7308,0.62685,1.1198,0.1339,3.511011809767e-06,0.508484699746006,0.491515300253994,0.0421170416735132,0.957882958326487,0.00408299642769493,0.0215368979787351,0.0286249054333928,0.00920891838611393,0.00081482517163496,0.935731456602428,0.543,0.068,0.196,0.144,0.008,0.04,1,3133.21,3.6,70900
"IA","Government","2017",8,"Iowa",3144,8525,709,0.225508905852417,1.5248,6.8031,7.5784,0.2435,32.101,3.1025,8.5804,9.1968,"2016",8.525,3.144,31.5088,2.7726,8.0335,7.5606,6.8289,5.4809,0.88415,0.7308,1.251,0.2106,2.54452926208651e-06,0.508484699746006,0.491515300253994,0.0421170416735132,0.957882958326487,0.00408299642769493,0.0215368979787351,0.0286249054333928,0.00920891838611393,0.00081482517163496,0.935731456602428,0.553,0.067,0.18,0.148,0.008,0.044,1,3143.734,3.1,74840
"IA","Government","2018",8,"Iowa",3150,8812,712,0.226031746031746,1.5733,7.2106,7.1763,0.2852,30.8824,3.566,8.2471,9.1342,"2017",8.812,3.15,32.101,3.1025,9.1968,8.5804,7.5784,6.8031,0.92925,0.88415,1.5248,0.2435,2.53968253968254e-06,0.508484699746006,0.491515300253994,0.0421170416735132,0.957882958326487,0.00408299642769493,0.0215368979787351,0.0286249054333928,0.00920891838611393,0.00081482517163496,0.935731456602428,0.544,0.055,0.194,0.15,0.009,0.049,1,3149.9,2.6,79430
"IA","Government","2019",6,"Iowa",3160,9193,714,0.225949367088608,1.5469,6.7992,6.1309,0.2693,30.208,3.6442,7.1793,8.0535,"2018",9.193,3.16,30.8824,3.566,9.1342,8.2471,7.1763,7.2106,0.9081,0.92925,1.5733,0.2852,1.89873417721519e-06,0.506256191933594,0.493743808066406,0.0506861556898344,0.949313844310166,0.004551341076686,0.0268054948385645,0.035784800980099,0.01210606553487,0.00133904098180985,0.919413256587971,0.544,0.049,0.195,0.156,0.009,0.047,1,3159.596,2.7,75240
"ID","Government","2015",15,"Idaho",1652,6843,238,0.14406779661017,1.0947,6.3242,6.4199,0.292,NA,NA,NA,NA,"2014",6.843,1.652,NA,NA,NA,NA,7.0659,6.3367,0.69335,0.63815,1.0244,0.2519,9.07990314769976e-06,0.503085204037645,0.496914795962355,0.0970917936953644,0.902908206304636,0.0157708868313349,0.0142079985393883,0.00669362486961843,0.0162704363070192,0.00186887291157044,0.945188180541069,0.459,0.111,0.17,0.134,0.014,0.113,1,1652.495,3.9,62490
"ID","Government","2016",15,"Idaho",1684,6974,253,0.150237529691211,1.3093,7.0716,5.8976,0.3542,22.8109,3.3519,7.3364,7.8975,"2015",6.974,1.684,NA,NA,NA,NA,6.4199,6.3242,0.83175,0.69335,1.0947,0.292,8.90736342042755e-06,0.503085204037645,0.496914795962355,0.0970917936953644,0.902908206304636,0.0157708868313349,0.0142079985393883,0.00669362486961843,0.0162704363070192,0.00186887291157044,0.945188180541069,0.472,0.104,0.168,0.138,0.015,0.103,1,1684.036,3.7,67870
"ID","Government","2017",13,"Idaho",1720,7257,262,0.152325581395349,1.4511,7.7751,6.3295,0.358,23.7145,3.0424,7.3306,8.1755,"2016",7.257,1.72,22.8109,3.3519,7.8975,7.3364,5.8976,7.0716,0.90455,0.83175,1.3093,0.3542,7.55813953488372e-06,0.503085204037645,0.496914795962355,0.0970917936953644,0.902908206304636,0.0157708868313349,0.0142079985393883,0.00669362486961843,0.0162704363070192,0.00186887291157044,0.945188180541069,0.465,0.095,0.175,0.14,0.018,0.107,1,1719.745,3.2,70160
"ID","Government","2018",15,"Idaho",1752,7444,245,0.139840182648402,1.4643,8.4462,5.9095,0.3467,23.6939,2.6657,6.9923,7.7586,"2017",7.444,1.752,23.7145,3.0424,8.1755,7.3306,6.3295,7.7751,0.9055,0.90455,1.4511,0.358,8.56164383561644e-06,0.503085204037645,0.496914795962355,0.0970917936953644,0.902908206304636,0.0157708868313349,0.0142079985393883,0.00669362486961843,0.0162704363070192,0.00186887291157044,0.945188180541069,0.471,0.087,0.166,0.146,0.019,0.111,1,1752.074,2.9,67880
"ID","Government","2019",12,"Idaho",1789,7723,238,0.133035215204025,1.4589,8.8917,5.8586,0.3301,24.2835,2.6954,7.0107,7.6745,"2018",7.723,1.789,23.6939,2.6657,7.7586,6.9923,5.9095,8.4462,0.8945,0.9055,1.4643,0.3467,6.70765790944662e-06,0.501944152775955,0.498055847224045,0.109182784665131,0.890817215334869,0.0159186364232958,0.0165271629538594,0.00827998782946939,0.0194161724874417,0.00217757042799699,0.937680469877937,0.49,0.086,0.156,0.15,0.014,0.105,1,1789.06,2.9,75160
"IL","Government","2015",25,"Illinois",12860,8300,3248,0.252566096423017,1.929,8.0563,6.4276,0.3586,NA,NA,NA,NA,"2014",8.3,12.86,NA,NA,NA,NA,6.5777,7.7349,1.1438,1.07095,1.8454,0.2965,1.94401244167963e-06,0.515136391755564,0.484863608244435,0.140071272273092,0.859928727726908,0.00533711274550627,0.0530663753690611,0.141532522052481,0.0117484563313968,0.000592787385370968,0.787722746116184,0.527,0.068,0.203,0.125,0.007,0.071,1,12859.58,6,73130
"IL","Government","2016",32,"Illinois",12822,8630,3283,0.256044298861332,1.8653,8.0263,5.9552,0.2745,28.3811,3.3241,7.3462,7.7967,"2015",8.63,12.822,NA,NA,NA,NA,6.4276,8.0563,1.0699,1.1438,1.929,0.3586,2.49571049758228e-06,0.515136391755564,0.484863608244435,0.140071272273092,0.859928727726908,0.00533711274550627,0.0530663753690611,0.141532522052481,0.0117484563313968,0.000592787385370968,0.787722746116184,0.531,0.067,0.203,0.127,0.006,0.065,1,12821.71,5.9,73650
"IL","Government","2017",26,"Illinois",12780,8849,3257,0.254851330203443,2.093,9.0108,6.6494,0.2749,29.7952,3.2746,7.7762,8.3225,"2016",8.849,12.78,28.3811,3.3241,7.7967,7.3462,5.9552,8.0263,1.18395,1.0699,1.8653,0.2745,2.03442879499218e-06,0.515136391755564,0.484863608244435,0.140071272273092,0.859928727726908,0.00533711274550627,0.0530663753690611,0.141532522052481,0.0117484563313968,0.000592787385370968,0.787722746116184,0.534,0.06,0.2,0.131,0.006,0.069,1,12779.89,4.9,77790
"IL","Government","2018",29,"Illinois",12725,9118,3161,0.248408644400786,2.4105,9.9303,6.4306,0.2613,30.2284,3.3345,7.6163,8.1615,"2017",9.118,12.725,29.7952,3.2746,8.3225,7.7762,6.6494,9.0108,1.3359,1.18395,2.093,0.2749,2.27897838899804e-06,0.515136391755564,0.484863608244435,0.140071272273092,0.859928727726908,0.00533711274550627,0.0530663753690611,0.141532522052481,0.0117484563313968,0.000592787385370968,0.787722746116184,0.542,0.056,0.19,0.135,0.006,0.071,1,12724.68,4.4,81080
"IL","Government","2019",39,"Illinois",12667,9496,2990,0.236046419831057,2.2732,10.7173,5.9316,0.2649,29.1737,3.3032,7.2704,8.0223,"2018",9.496,12.667,30.2284,3.3345,8.1615,7.6163,6.4306,9.9303,1.26905,1.3359,2.4105,0.2613,3.07886634562248e-06,0.514127885048334,0.485872114951666,0.153658916688368,0.846341083311632,0.00586687621608972,0.0604044486611528,0.142218574058817,0.0143219517741902,0.000644993936366622,0.776543155353384,0.546,0.052,0.182,0.141,0.007,0.073,1,12667.02,4,84740
"IN","Government","2015",11,"Indiana",6611,8368,1204,0.182120707911057,1.3174,8.7862,6.3019,0.296,NA,NA,NA,NA,"2014",8.368,6.611,NA,NA,NA,NA,7.0967,7.6377,0.8067,0.82355,1.2896,0.3575,1.66389351081531e-06,0.513406795280249,0.486593204719751,0.0513848401619798,0.94861515983802,0.00374974142654698,0.0195021064080671,0.0883644052850708,0.0109799668022785,0.00054192581695668,0.87686185426108,0.526,0.056,0.169,0.14,0.009,0.099,1,6611.442,4.8,62930
"IN","Government","2016",11,"Indiana",6638,8776,1360,0.204880988249473,1.407,8.9138,5.7154,0.4686,25.3659,3.3981,6.833,7.4323,"2015",8.776,6.638,NA,NA,NA,NA,6.3019,8.7862,0.9378,0.8067,1.3174,0.296,1.65712564025309e-06,0.513406795280249,0.486593204719751,0.0513848401619798,0.94861515983802,0.00374974142654698,0.0195021064080671,0.0883644052850708,0.0109799668022785,0.00054192581695668,0.87686185426108,0.533,0.058,0.179,0.141,0.008,0.081,1,6637.898,4.4,67310
"IN","Government","2017",11,"Indiana",6662,9015,1420,0.21314920444311,2.0473,9.5877,5.6311,0.6988,24.9975,3.9124,6.9005,7.5609,"2016",9.015,6.662,25.3659,3.3981,7.4323,6.833,5.7154,8.9138,1.37305,0.9378,1.407,0.4686,1.65115580906635e-06,0.513406795280249,0.486593204719751,0.0513848401619798,0.94861515983802,0.00374974142654698,0.0195021064080671,0.0883644052850708,0.0109799668022785,0.00054192581695668,0.87686185426108,0.529,0.054,0.181,0.142,0.009,0.084,1,6662.068,3.5,69290
"IN","Government","2018",14,"Indiana",6698,9297,1385,0.206778142729173,2.2996,10.5726,5.1521,0.5378,26.5099,3.8902,6.7781,7.3882,"2017",9.297,6.698,24.9975,3.9124,7.5609,6.9005,5.6311,9.5877,1.4187,1.37305,2.0473,0.6988,2.09017617199164e-06,0.513406795280249,0.486593204719751,0.0513848401619798,0.94861515983802,0.00374974142654698,0.0195021064080671,0.0883644052850708,0.0109799668022785,0.00054192581695668,0.87686185426108,0.539,0.047,0.176,0.146,0.008,0.085,1,6698.481,3.4,69230
"IN","Government","2019",11,"Indiana",6731,9927,1383,0.205467241123162,1.6922,11.9846,6.0019,0.3507,27.7333,3.3109,7.8175,8.423,"2018",9.927,6.731,26.5099,3.8902,7.3882,6.7781,5.1521,10.5726,1.02145,1.4187,2.2996,0.5378,1.63422968355371e-06,0.512541471839834,0.487458528160166,0.0598213550551327,0.940178644944867,0.004153722609212,0.0254246958570298,0.0937451020849014,0.0139459686707797,0.000611434167661991,0.862119076610415,0.533,0.044,0.177,0.148,0.01,0.088,1,6731.01,3.3,75960
"KS","Government","2015",33,"Kansas",2911,7634,368,0.126417038818276,1.2442,7.3762,6.3657,0.1532,NA,NA,NA,NA,"2014",7.634,2.911,NA,NA,NA,NA,7.9213,6.393,0.6987,0.8494,1.4601,0.2387,1.13363105462041e-05,0.507391780253713,0.492608219746287,0.0890834303095943,0.910916569690406,0.0111500040326762,0.027400997799311,0.0587632358193822,0.017226210090908,0.000966920533235013,0.884492631724488,0.542,0.078,0.134,0.132,0.022,0.093,1,2910.717,4.2,66410
"KS","Government","2016",30,"Kansas",2913,7845,400,0.137315482320632,1.3025,6.9999,5.3825,0.2881,27.9123,2.8217,6.3501,7.0403,"2015",7.845,2.913,NA,NA,NA,NA,6.3657,7.3762,0.7953,0.6987,1.2442,0.1532,1.02986611740474e-05,0.507391780253713,0.492608219746287,0.0890834303095943,0.910916569690406,0.0111500040326762,0.027400997799311,0.0587632358193822,0.017226210090908,0.000966920533235013,0.884492631724488,0.536,0.083,0.139,0.134,0.023,0.084,1,2912.977,4,68160
"KS","Government","2017",22,"Kansas",2911,8060,381,0.130882858124356,1.6963,6.7791,5.8711,0.3212,28.3318,2.964,6.5861,7.2368,"2016",8.06,2.911,27.9123,2.8217,7.0403,6.3501,5.3825,6.9999,1.00875,0.7953,1.3025,0.2881,7.55754036413604e-06,0.507391780253713,0.492608219746287,0.0890834303095943,0.910916569690406,0.0111500040326762,0.027400997799311,0.0587632358193822,0.017226210090908,0.000966920533235013,0.884492631724488,0.546,0.069,0.135,0.139,0.025,0.085,1,2910.892,3.6,67090
"KS","Government","2018",29,"Kansas",2913,8381,375,0.128733264675592,1.7531,6.5446,5.4972,0.2513,29.0497,3.3037,6.8067,7.2726,"2017",8.381,2.913,28.3318,2.964,7.2368,6.5861,5.8711,6.7791,1.0022,1.00875,1.6963,0.3212,9.9553724682458e-06,0.507391780253713,0.492608219746287,0.0890834303095943,0.910916569690406,0.0111500040326762,0.027400997799311,0.0587632358193822,0.017226210090908,0.000966920533235013,0.884492631724488,0.547,0.062,0.141,0.141,0.023,0.087,1,2912.748,3.4,73900
"KS","Government","2019",28,"Kansas",2913,8745,364,0.124957088911775,2.2132,7.7502,5.544,0.537,28.7126,4.3061,6.6831,7.2858,"2018",8.745,2.913,29.0497,3.3037,7.2726,6.8067,5.4972,6.5446,1.3751,1.0022,1.7531,0.2513,9.61208376244422e-06,0.506445421498547,0.493554578501453,0.101526242525491,0.898473757474509,0.0116394760811186,0.0322560512884059,0.0592004638243256,0.021009125436079,0.00120568998843153,0.874689193381639,0.543,0.056,0.139,0.15,0.02,0.092,1,2912.635,3.2,83320
"KY","Government","2015",8,"Kentucky",4429,8306,1235,0.27884398284037,1.6932,7.1327,5.947,0.5853,NA,NA,NA,NA,"2014",8.306,4.429,NA,NA,NA,NA,5.8569,6.8634,1.13925,1.1076,1.6734,0.5418,1.80627681192143e-06,0.513205267060104,0.486794732939896,0.0270292198452666,0.972970780154733,0.00286005694740994,0.01275430800872,0.0773891167368798,0.0101473899988877,0.000675332200600512,0.896173796107502,0.467,0.051,0.258,0.146,0.017,0.061,1,4429.126,5.2,51310
"KY","Government","2016",8,"Kentucky",4440,8611,1304,0.293693693693694,1.7537,7.1139,5.7121,0.5116,23.7816,3.2875,6.9593,8.1006,"2015",8.611,4.44,NA,NA,NA,NA,5.947,7.1327,1.13265,1.13925,1.6932,0.5853,1.8018018018018e-06,0.513205267060104,0.486794732939896,0.0270292198452666,0.972970780154733,0.00286005694740994,0.01275430800872,0.0773891167368798,0.0101473899988877,0.000675332200600512,0.896173796107502,0.462,0.052,0.267,0.15,0.017,0.052,1,4440.306,5,54440
"KY","Government","2017",6,"Kentucky",4456,8959,1350,0.302962298025135,1.7033,7.946,5.2802,0.4066,23.3939,3.0287,6.6252,7.4728,"2016",8.959,4.456,23.7816,3.2875,8.1006,6.9593,5.7121,7.1139,1.05495,1.13265,1.7537,0.5116,1.34649910233393e-06,0.513205267060104,0.486794732939896,0.0270292198452666,0.972970780154733,0.00286005694740994,0.01275430800872,0.0773891167368798,0.0101473899988877,0.000675332200600512,0.896173796107502,0.464,0.045,0.271,0.151,0.014,0.055,1,4455.59,4.8,58570
"KY","Government","2018",7,"Kentucky",4464,9332,1322,0.296146953405018,1.8453,8.4228,4.9593,0.4368,21.9734,3.2982,6.4532,7.4566,"2017",9.332,4.464,23.3939,3.0287,7.4728,6.6252,5.2802,7.946,1.14105,1.05495,1.7033,0.4066,1.56810035842294e-06,0.513205267060104,0.486794732939896,0.0270292198452666,0.972970780154733,0.00286005694740994,0.01275430800872,0.0773891167368798,0.0101473899988877,0.000675332200600512,0.896173796107502,0.469,0.042,0.265,0.153,0.015,0.056,1,4464.273,4.2,63060
"KY","Government","2019",5,"Kentucky",4472,9744,1281,0.286449016100179,2.0971,10.107,5.4472,0.4334,23.23,3.2273,6.9712,7.8683,"2018",9.744,4.472,21.9734,3.2982,7.4566,6.4532,4.9593,8.4228,1.26525,1.14105,1.8453,0.4368,1.11806797853309e-06,0.513137972426794,0.486862027573206,0.0313459014894998,0.9686540985105,0.00299820332708876,0.0154774533552744,0.081250502800255,0.0128215146318839,0.000865321041026482,0.886587004844471,0.47,0.039,0.255,0.158,0.014,0.064,1,4472.345,4.1,63400
"LA","Government","2015",47,"Louisiana",4667,8201,1270,0.272123419755732,1.8777,6.4257,7.0396,0.1693,NA,NA,NA,NA,"2014",8.201,4.667,NA,NA,NA,NA,6.4005,6.1745,1.0235,1.0293,1.7473,0.3113,1.00707092350546e-05,0.517207821410965,0.482792178589036,0.0434734096392264,0.956526590360774,0.00721957128885458,0.0171984283399768,0.30775856278044,0.00993502271984625,0.000602864374301924,0.65728555049658,0.448,0.065,0.227,0.122,0.018,0.121,1,4666.998,6.3,55590
"LA","Government","2016",43,"Louisiana",4681,8542,1393,0.297585985900449,1.8407,6.9367,6.9264,0.232,28.5067,3.9174,7.8844,8.4844,"2015",8.542,4.681,NA,NA,NA,NA,7.0396,6.4257,1.03635,1.0235,1.8777,0.1693,9.18607135227516e-06,0.517207821410965,0.482792178589036,0.0434734096392264,0.956526590360774,0.00721957128885458,0.0171984283399768,0.30775856278044,0.00993502271984625,0.000602864374301924,0.65728555049658,0.433,0.071,0.253,0.127,0.015,0.102,1,4681.346,6.1,50630
"LA","Government","2017",42,"Louisiana",4674,8984,1508,0.322635857937527,1.5476,7.8025,6.5703,0.2379,28.9845,3.5715,7.6103,8.4561,"2016",8.984,4.674,28.5067,3.9174,8.4844,7.8844,6.9264,6.9367,0.89275,1.03635,1.8407,0.232,8.98587933247754e-06,0.517207821410965,0.482792178589036,0.0434734096392264,0.956526590360774,0.00721957128885458,0.0171984283399768,0.30775856278044,0.00993502271984625,0.000602864374301924,0.65728555049658,0.435,0.058,0.283,0.127,0.015,0.083,1,4673.673,5.1,51370
"LA","Government","2018",40,"Louisiana",4664,9217,1502,0.322041166380789,1.6242,7.959,6.8975,0.2238,28.3297,3.4671,7.872,8.6932,"2017",9.217,4.664,28.9845,3.5715,8.4561,7.6103,6.5703,7.8025,0.924,0.89275,1.5476,0.2379,8.57632933104631e-06,0.517207821410965,0.482792178589036,0.0434734096392264,0.956526590360774,0.00721957128885458,0.0171984283399768,0.30775856278044,0.00993502271984625,0.000602864374301924,0.65728555049658,0.424,0.053,0.293,0.135,0.015,0.079,1,4664.45,4.8,57760
"LA","Government","2019",42,"Louisiana",4658,9657,1484,0.31859167024474,1.9708,8.0259,6.0422,0.307,28.0988,3.3442,7.2425,8.0628,"2018",9.657,4.658,28.3297,3.4671,8.6932,7.872,6.8975,7.959,1.1389,0.924,1.6242,0.2238,9.0167453842851e-06,0.518779535469747,0.481220464530253,0.047087206824163,0.952912793175837,0.00767435297651959,0.018591074546734,0.314476685352088,0.0116220838649706,0.000606157585839397,0.647029645673848,0.418,0.049,0.293,0.137,0.014,0.089,1,4658.285,4.6,58890
"MA","Government","2015",15,"Massachusetts",6797,11010,1591,0.234073856112991,2.61,11.9083,7.0388,0.2458,NA,NA,NA,NA,"2014",11.01,6.797,NA,NA,NA,NA,7.0033,12.0134,1.4279,1.43375,2.4967,0.3708,2.20685596586729e-06,0.5222347947378,0.4777652052622,0.0906949633532905,0.90930503664671,0.0043714987759352,0.0602266964996411,0.0757441817424002,0.0148018173638143,0.000901497015448646,0.84395430860276,0.559,0.05,0.238,0.12,0.00499999999999989,0.028,1,6797.484,4.8,82150
"MA","Government","2016",13,"Massachusetts",6827,11490,1633,0.239197304819101,2.9919,12.1356,7.9678,0.3949,30.5206,3.8913,9.1589,10.3102,"2015",11.49,6.827,NA,NA,NA,NA,7.0388,11.9083,1.6934,1.4279,2.61,0.2458,1.90420389629413e-06,0.5222347947378,0.4777652052622,0.0906949633532905,0.90930503664671,0.0043714987759352,0.0602266964996411,0.0757441817424002,0.0148018173638143,0.000901497015448646,0.84395430860276,0.556,0.053,0.239,0.121,0.006,0.025,1,6827.28,4,86710
"MA","Government","2017",9,"Massachusetts",6864,11746,1601,0.233245920745921,3.2682,13.781,7.5628,0.4568,33.6684,4.439,9.1543,10.127,"2016",11.746,6.864,30.5206,3.8913,10.3102,9.1589,7.9678,12.1356,1.8625,1.6934,2.9919,0.3949,1.31118881118881e-06,0.5222347947378,0.4777652052622,0.0906949633532905,0.90930503664671,0.0043714987759352,0.0602266964996411,0.0757441817424002,0.0148018173638143,0.000901497015448646,0.84395430860276,0.552,0.054,0.236,0.125,0.005,0.028,1,6863.56,3.8,89900
"MA","Government","2018",14,"Massachusetts",6886,12215,1600,0.232355503920999,3.1178,13.9824,7.1025,0.566,32.7729,4.1722,8.3353,9.3401,"2017",12.215,6.886,33.6684,4.439,10.127,9.1543,7.5628,13.781,1.8419,1.8625,3.2682,0.4568,2.03311065930874e-06,0.5222347947378,0.4777652052622,0.0906949633532905,0.90930503664671,0.0043714987759352,0.0602266964996411,0.0757441817424002,0.0148018173638143,0.000901497015448646,0.84395430860276,0.553,0.056,0.232,0.126,0.005,0.027,1,6885.72,3.5,99800
