"State_Abbrev","profit_type","year","count_tx","State_Name","pop_thousands","percapita_health_spending","medicaid_enrollment","medicaid_enroll_percapita","cocaine_yr","marijuana_month","aud_yr","heroin_yr","binge_drinking","illicit_druguse","needing_tx","sud","start_year","percapita_health_spending_thousands","pop_millions","prev2years_bingedrinking","prev2years_druguse","prev2years_sud","prev2years_needingtx","prev2years_aud","prev2years_marijuana","druguse_calc","prev2years_drugusecalc","prev2years_cocaine","prev2years_heroin","tx_percapita","Gender_Female","Gender_Male","Ethnicity_HispanicorLatino","Ethnicity_NotHispanicorLatino","Race_AmericanIndianorAlaskaNative","Race_Asian","Race_BlackorAfricanAmerican","Race_Morethanonerace","Race_NativeHawaiianorOtherPacificIslander","Race_White","Insurance_Employer","Insurance_Non.Group","Insurance_Medicaid","Insurance_Medicare","Insurance_Military","Insurance_Uninsured","Insurance_Total","Population","Unemployment","Income"
"CA","Government","2016",174,"California",39149,8325,10883,0.277989220669749,2.5931,10.8367,6.8181,0.2576,25.9142,4.1248,8.396,8.7974,"2015",8.325,39.149,NA,NA,NA,NA,6.9505,9.8151,1.42535,1.2474,2.2846,0.2102,4.4445579708294e-06,0.507865565688765,0.492134434311235,0.340441374377156,0.659558625622844,0.0157459792982178,0.148980117981165,0.0652873040001433,0.0275779160963937,0.00482498993039453,0.737583692693685,0.463,0.075,0.272,0.106,0.01,0.074,1,39149.19,5.5,79960
"CA","Government","2017",169,"California",39338,8594,10920,0.277594183740912,2.9118,11.782,5.8678,0.1988,25.4391,3.9614,7.4114,7.7753,"2016",8.594,39.338,25.9142,4.1248,8.7974,8.396,6.8181,10.8367,1.5553,1.42535,2.5931,0.2576,4.29610046265697e-06,0.507865565688765,0.492134434311235,0.340441374377156,0.659558625622844,0.0157459792982178,0.148980117981165,0.0652873040001433,0.0275779160963937,0.00482498993039453,0.737583692693685,0.471,0.074,0.264,0.108,0.009,0.072,1,39337.79,4.8,82580
"CA","Government","2018",196,"California",39437,9069,11232,0.284808682201993,3.0363,12.4628,6.302,0.1999,26.49,3.6245,7.7916,8.117,"2017",9.069,39.437,25.4391,3.9614,7.7753,7.4114,5.8678,11.782,1.6181,1.5553,2.9118,0.1988,4.96995207546213e-06,0.507865565688765,0.492134434311235,0.340441374377156,0.659558625622844,0.0157459792982178,0.148980117981165,0.0652873040001433,0.0275779160963937,0.00482498993039453,0.737583692693685,0.474,0.072,0.263,0.109,0.01,0.072,1,39437.46,4.2,81480
"CA","Government","2019",209,"California",39438,9628,10912,0.276687458796085,2.9699,13.9293,6.7281,0.245,25.2396,4.163,8.7621,9.2301,"2018",9.628,39.438,26.49,3.6245,8.117,7.7916,6.302,12.4628,1.60745,1.6181,3.0363,0.1999,5.29945737613469e-06,0.506820478754999,0.493179521245001,0.35708323458186,0.64291676541814,0.0161201676657665,0.163103595679427,0.0653625450501441,0.0310035119853036,0.00500508795082789,0.71940509166853,0.48,0.066,0.253,0.114,0.009,0.078,1,39437.61,4.1,88960
"CO","Government","2015",24,"Colorado",5454,7075,1033,0.189402273560689,2.9342,17.1216,7.911,0.4102,NA,NA,NA,NA,"2014",7.075,5.454,NA,NA,NA,NA,7.9271,15.1701,1.6722,1.52155,2.7383,0.3048,4.4004400440044e-06,0.501643650758397,0.498356349241603,0.179757597805719,0.820242402194281,0.0146892523579012,0.0309145805359093,0.0417934218731737,0.0198166188514471,0.00169067601977195,0.891095450361797,0.5,0.085,0.192,0.117,0.025,0.081,1,5454.328,3.7,80610
"CO","Government","2016",23,"Colorado",5544,7323,1133,0.204365079365079,2.5608,16.6168,6.7942,0.383,28.6228,3.8765,8.5481,8.6726,"2015",7.323,5.544,NA,NA,NA,NA,7.911,17.1216,1.4719,1.6722,2.9342,0.4102,4.14862914862915e-06,0.501643650758397,0.498356349241603,0.179757597805719,0.820242402194281,0.0146892523579012,0.0309145805359093,0.0417934218731737,0.0198166188514471,0.00169067601977195,0.891095450361797,0.505,0.081,0.194,0.12,0.023,0.077,1,5543.844,3.1,84670
"CO","Government","2017",23,"Colorado",5617,7615,1156,0.205803809862916,2.8715,17.1771,6.7287,0.3001,29.1234,4.0606,8.938,9.0737,"2016",7.615,5.617,28.6228,3.8765,8.6726,8.5481,6.7942,16.6168,1.5858,1.4719,2.5608,0.383,4.09471247997152e-06,0.501643650758397,0.498356349241603,0.179757597805719,0.820242402194281,0.0146892523579012,0.0309145805359093,0.0417934218731737,0.0198166188514471,0.00169067601977195,0.891095450361797,0.508,0.075,0.197,0.122,0.024,0.075,1,5617.421,2.6,88420
"CO","Government","2018",24,"Colorado",5697,7998,1096,0.192381955415131,4.1262,18.1246,8.9442,0.3762,32.468,4.8193,11.2599,11.8988,"2017",7.998,5.697,29.1234,4.0606,9.0737,8.938,6.7287,17.1771,2.2512,1.5858,2.8715,0.3001,4.21274354923644e-06,0.501643650758397,0.498356349241603,0.179757597805719,0.820242402194281,0.0146892523579012,0.0309145805359093,0.0417934218731737,0.0198166188514471,0.00169067601977195,0.891095450361797,0.521,0.072,0.185,0.125,0.021,0.077,1,5697.155,3,84420
"CO","Government","2019",24,"Colorado",5758,8286,1049,0.182181312955887,4.4617,18.1509,8.771,0.3818,31.2368,4.8706,11.0349,11.7543,"2018",8.286,5.758,32.468,4.8193,11.8988,11.2599,8.9442,18.1246,2.42175,2.2512,4.1262,0.3762,4.16811392844738e-06,0.49825548062525,0.50174451937475,0.190508135277942,0.809491864722058,0.0149895164459297,0.0351447294678833,0.044020486857184,0.0234738759695261,0.00186302718482531,0.880508364074652,0.534,0.069,0.168,0.128,0.023,0.078,1,5758.486,2.7,82580
"CT","Government","2015",13,"Connecticut",3589,10294,914,0.254667038172193,2.6047,9.7221,7.3222,0.9496,NA,NA,NA,NA,"2014",10.294,3.589,NA,NA,NA,NA,7.1792,8.5585,1.77715,1.46715,2.3317,0.6026,3.62217887991084e-06,0.519157826333942,0.480842173666058,0.126442293677974,0.873557706322026,0.00463410940564952,0.0413970012662395,0.10653012704342,0.0142912293898375,0.000982206527140965,0.832165326367713,0.542,0.065,0.196,0.129,0.007,0.061,1,3588.561,5.6,88230
