"State_Abbrev","year","State_Name","pop_millions","percapita_health_spending_thousands","medicaid_enroll_percapita","prev2years_drugusecalc","prev2years_aud","prev2years_marijuana","Gender_Male","Ethnicity_HispanicorLatino","Race_White","Insurance_Uninsured","Unemployment","Income","Forprofit","Government","Nonprofit","count_tx_total","profit_type","OTP_status","count_tx"
"AL","2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,20,83,156,"Nonprofit","OTP",2
"AL","2022","Alabama",5.076181,NA,NA,1.1131,5.7144,8.9607,48.6246762112419,4.93177772837848,68.8605670619136,8.6,2.5,62290,55,11,93,159,"Forprofit","NotOTP",33
"AL","2022","Alabama",5.076181,NA,NA,1.1131,5.7144,8.9607,48.6246762112419,4.93177772837848,68.8605670619136,8.6,2.5,62290,55,11,93,159,"Government","NotOTP",11
"AL","2022","Alabama",5.076181,NA,NA,1.1131,5.7144,8.9607,48.6246762112419,4.93177772837848,68.8605670619136,8.6,2.5,62290,55,11,93,159,"Nonprofit","NotOTP",88
"AL","2022","Alabama",5.076181,NA,NA,1.1131,5.7144,8.9607,48.6246762112419,4.93177772837848,68.8605670619136,8.6,2.5,62290,55,11,93,159,"Forprofit","OTP",22
"AL","2022","Alabama",5.076181,NA,NA,1.1131,5.7144,8.9607,48.6246762112419,4.93177772837848,68.8605670619136,8.6,2.5,62290,55,11,93,159,"Government","OTP",NA
"AL","2022","Alabama",5.076181,NA,NA,1.1131,5.7144,8.9607,48.6246762112419,4.93177772837848,68.8605670619136,8.6,2.5,62290,55,11,93,159,"Nonprofit","OTP",5
"AL","2023","Alabama",5.117673,NA,NA,0.965336467225307,9.56354241497209,9.10051394045004,48.532221401798,5.68554016585794,68.8949407141241,NA,2.5,60660,50,10,74,134,"Forprofit","NotOTP",30
"AL","2023","Alabama",5.117673,NA,NA,0.965336467225307,9.56354241497209,9.10051394045004,48.532221401798,5.68554016585794,68.8949407141241,NA,2.5,60660,50,10,74,134,"Government","NotOTP",9
"AL","2023","Alabama",5.117673,NA,NA,0.965336467225307,9.56354241497209,9.10051394045004,48.532221401798,5.68554016585794,68.8949407141241,NA,2.5,60660,50,10,74,134,"Nonprofit","NotOTP",70
"AL","2023","Alabama",5.117673,NA,NA,0.965336467225307,9.56354241497209,9.10051394045004,48.532221401798,5.68554016585794,68.8949407141241,NA,2.5,60660,50,10,74,134,"Forprofit","OTP",20
"AL","2023","Alabama",5.117673,NA,NA,0.965336467225307,9.56354241497209,9.10051394045004,48.532221401798,5.68554016585794,68.8949407141241,NA,2.5,60660,50,10,74,134,"Government","OTP",1
"AL","2023","Alabama",5.117673,NA,NA,0.965336467225307,9.56354241497209,9.10051394045004,48.532221401798,5.68554016585794,68.8949407141241,NA,2.5,60660,50,10,74,134,"Nonprofit","OTP",4
"AR","2015","Arkansas",2.979732,7.62,0.326875034399067,0.59335,5.5113,6.754,48.4708076195096,5.47138641652685,81.4909775628426,9.4,5,53770,11,5,60,76,"Forprofit","NotOTP",6
"AR","2015","Arkansas",2.979732,7.62,0.326875034399067,0.59335,5.5113,6.754,48.4708076195096,5.47138641652685,81.4909775628426,9.4,5,53770,11,5,60,76,"Government","NotOTP",4
"AR","2015","Arkansas",2.979732,7.62,0.326875034399067,0.59335,5.5113,6.754,48.4708076195096,5.47138641652685,81.4909775628426,9.4,5,53770,11,5,60,76,"Nonprofit","NotOTP",60
"AR","2015","Arkansas",2.979732,7.62,0.326875034399067,0.59335,5.5113,6.754,48.4708076195096,5.47138641652685,81.4909775628426,9.4,5,53770,11,5,60,76,"Forprofit","OTP",5
"AR","2015","Arkansas",2.979732,7.62,0.326875034399067,0.59335,5.5113,6.754,48.4708076195096,5.47138641652685,81.4909775628426,9.4,5,53770,11,5,60,76,"Nonprofit","OTP",NA
"AR","2015","Arkansas",2.979732,7.62,0.326875034399067,0.59335,5.5113,6.754,48.4708076195096,5.47138641652685,81.4909775628426,9.4,5,53770,11,5,60,76,"Government","OTP",1
"AR","2016","Arkansas",2.991815,8.079,0.31151658775693,0.6532,5.1063,7.2504,48.4708076195096,5.47138641652685,81.4909775628426,8,4,57170,20,6,87,113,"Forprofit","NotOTP",15
"AR","2016","Arkansas",2.991815,8.079,0.31151658775693,0.6532,5.1063,7.2504,48.4708076195096,5.47138641652685,81.4909775628426,8,4,57170,20,6,87,113,"Government","NotOTP",5
"AR","2016","Arkansas",2.991815,8.079,0.31151658775693,0.6532,5.1063,7.2504,48.4708076195096,5.47138641652685,81.4909775628426,8,4,57170,20,6,87,113,"Nonprofit","NotOTP",87
"AR","2016","Arkansas",2.991815,8.079,0.31151658775693,0.6532,5.1063,7.2504,48.4708076195096,5.47138641652685,81.4909775628426,8,4,57170,20,6,87,113,"Forprofit","OTP",5
"AR","2016","Arkansas",2.991815,8.079,0.31151658775693,0.6532,5.1063,7.2504,48.4708076195096,5.47138641652685,81.4909775628426,8,4,57170,20,6,87,113,"Nonprofit","OTP",NA
"AR","2016","Arkansas",2.991815,8.079,0.31151658775693,0.6532,5.1063,7.2504,48.4708076195096,5.47138641652685,81.4909775628426,8,4,57170,20,6,87,113,"Government","OTP",1
"AR","2017","Arkansas",3.003855,8.409,0.31825770551508,0.7641,5.2777,7.1321,48.4708076195096,5.47138641652685,81.4909775628426,8,3.7,60880,19,6,93,118,"Forprofit","NotOTP",16
"AR","2017","Arkansas",3.003855,8.409,0.31825770551508,0.7641,5.2777,7.1321,48.4708076195096,5.47138641652685,81.4909775628426,8,3.7,60880,19,6,93,118,"Government","NotOTP",5
"AR","2017","Arkansas",3.003855,8.409,0.31825770551508,0.7641,5.2777,7.1321,48.4708076195096,5.47138641652685,81.4909775628426,8,3.7,60880,19,6,93,118,"Nonprofit","NotOTP",93
"AR","2017","Arkansas",3.003855,8.409,0.31825770551508,0.7641,5.2777,7.1321,48.4708076195096,5.47138641652685,81.4909775628426,8,3.7,60880,19,6,93,118,"Forprofit","OTP",3
"AR","2017","Arkansas",3.003855,8.409,0.31825770551508,0.7641,5.2777,7.1321,48.4708076195096,5.47138641652685,81.4909775628426,8,3.7,60880,19,6,93,118,"Nonprofit","OTP",NA
"AR","2017","Arkansas",3.003855,8.409,0.31825770551508,0.7641,5.2777,7.1321,48.4708076195096,5.47138641652685,81.4909775628426,8,3.7,60880,19,6,93,118,"Government","OTP",1
"AR","2018","Arkansas",3.012161,8.545,0.302108685425513,0.9249,5.7279,8.4446,48.4708076195096,5.47138641652685,81.4909775628426,8.3,3.6,59720,23,6,115,144,"Forprofit","NotOTP",16
"AR","2018","Arkansas",3.012161,8.545,0.302108685425513,0.9249,5.7279,8.4446,48.4708076195096,5.47138641652685,81.4909775628426,8.3,3.6,59720,23,6,115,144,"Government","NotOTP",4
"AR","2018","Arkansas",3.012161,8.545,0.302108685425513,0.9249,5.7279,8.4446,48.4708076195096,5.47138641652685,81.4909775628426,8.3,3.6,59720,23,6,115,144,"Nonprofit","NotOTP",115
