CASEID,STATE,DETOX,TREATMT,OWNERSHP,FEDOWN,HOSPITAL,LOCS,ASSESSMENT,TESTING,TRANSITION,ANCILLARY,OTHER_SRVC,SRVC75,SRVC71,SRVC108,SRVC85,SRVC87,SRVC86,OTP,OTPALL,OPIOIDMAINT,OPIOIDWDRAW,OPIOIDDETOX,OPIOIDNAL,COMPSAT,DUI_DWI,ONLYDUI,SIGNLANG,LANG,LANG16,LANG1,LANG2,LANG3,LANG21,LANG4,LANG5,LANG6,LANG7,LANG8,LANG24,LANG9,LANG10,LANG22,LANG25,LANG26,LANG11,LANG19,LANG23,LANG12,LANG13,LANG14,LANG15,LANG20,LANG17,LANG18,SRVC30,SRVC34,SRVC33,SRVC64,SRVC63,SRVC62,SRVC113,SRVC114,SRVC115,SRVC61,SRVC31,SRVC32,SRVC116,CTYPE4,CTYPEHI1,CTYPEHI2,CTYPE7,CTYPERC1,CTYPERC3,CTYPERC4,CTYPE1,CTYPE6,CTYPEML,CTYPEOP,CTYPE2,CTYPE3,FEESCALE,PAYASST,EARMARK,REVCHK3,REVCHK1,REVCHK8,REVCHK5,REVCHK10,REVCHK15,REVCHK2,REVCHK17,HINUM,RCNUM,OPNUM,LOC5,LICEN,ACCRED
3752,GA,0,1,1,,0,,1,2,1,2,0,0,0,0,1,0,0,1,,,,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,,,2,0,1,1
3753,GA,1,1,1,,0,,3,7,2,10,0,0,0,0,1,1,1,1,1,1,1,1,0,3,0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,,,3,0,1,1
3754,GA,1,1,1,,0,,4,5,2,9,0,0,0,0,1,0,0,1,1,1,1,1,0,2,0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,0,0,0,0,1,0,0,0,,,0,,,,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,,,5,0,1,1
3755,GA,0,1,3,,0,,3,5,2,10,0,0,0,0,0,0,0,0,,,,,,2,0,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,1,0,0,1,1,0,0,0,,,1,0,0,1,0,,,,,,0,1,1,0,1,1,1,1,D,1,D,,2,,0,1,1
3756,GA,0,1,1,,0,,1,6,2,15,1,0,0,0,0,0,0,0,,,,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,1,0,,,,,,0,0,0,0,1,0,0,1,0,1,D,,1,,0,1,1
3757,GA,0,1,1,,0,,6,1,1,10,0,0,0,0,0,0,0,0,,,,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,0,0,0,0,1,0,0,0,,,0,,,,1,0,0,0,1,1,1,0,1,0,1,0,1,0,1,1,0,,,,0,1,1
3758,GA,0,1,3,,0,,5,2,1,9,0,0,0,0,0,0,0,0,,,,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,0,1,1,1,1,0,1,1,1,D,D,0,D,,,,0,M,1
3759,GA,1,1,1,,0,,5,3,2,5,2,0,1,1,0,1,0,0,0,0,0,0,1,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,0,,,,1,1,1,1,1,1,0,0,D,0,1,0,0,0,1,1,0,,,3,0,1,1
3760,GA,1,1,1,,0,,2,5,2,13,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,,,3,0,1,1
3761,GA,0,1,1,,0,,7,1,2,8,3,0,0,0,0,0,0,0,,,,,,3,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0,0,1,1,1,1,1,0,1,0,,,0,,,,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,,,,0,0,M
3762,GA,0,1,1,,0,,7,1,2,11,1,0,0,0,0,0,0,0,,,,,,2,0,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,1,0,,,0,,,,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,,,1,0,1,1
3763,GA,0,1,1,,0,,5,1,2,10,0,0,0,0,0,0,0,0,,,,,,4,0,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,0,1,1,1,1,1,0,,,0,,,,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,,,1,0,1,1
3764,GA,0,1,2,,1,2,5,1,2,13,0,0,0,0,0,1,0,0,,,,,,2,0,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,0,0,0,0,0,1,0,1,0,,,0,,,,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,0,,,2,0,1,1
3765,GA,0,1,3,,0,,7,5,2,10,0,0,0,0,0,0,0,0,,,,,,2,0,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,0,,,0,,,,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,D,,,,0,1,1
3766,GA,0,1,1,,0,,7,0,2,6,1,0,0,0,0,0,0,0,,,,,,5,0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,,,,0,1,1
3767,GA,0,1,1,,0,,5,2,2,8,0,0,0,0,0,0,0,0,,,,,,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,,,2,0,1,0
3768,GA,0,1,2,,0,,5,2,2,14,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,1,0,0,0,0,1,1,1,0,,,0,,,,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,,,2,0,1,1
3769,GA,1,1,1,,0,,6,0,2,13,3,0,0,0,0,0,0,0,,,,,,2,0,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,,,2,0,0,1
3770,GA,0,1,1,,0,,4,1,2,6,0,0,0,0,0,0,0,0,,,,,,2,0,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,1,0,0,1,1,0,0,0,,,0,,,,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,,,4,0,1,1
3771,GA,0,1,1,,0,,5,2,2,9,2,0,0,0,0,0,0,0,,,,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,0,0,0,1,0,0,1,0,,,0,,,,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,,,4,0,1,1
3772,GA,0,1,1,,0,,4,3,2,7,1,0,0,0,0,0,0,0,,,,,,4,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,1,0,1,0,,,0,,,,1,0,0,0,1,1,1,0,D,0,1,1,1,1,1,1,0,,,5,0,1,M
3773,GA,0,1,1,,0,,7,1,2,9,3,0,0,0,0,0,1,0,,,,,,M,0,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,,,2,0,1,1
3774,GA,0,1,2,,0,,4,6,1,7,0,0,1,0,0,0,0,0,,,,,,M,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,1,0,0,0,1,1,1,1,0,,,1,0,0,1,0,,,,,,0,0,0,0,1,0,1,1,1,1,0,,,,0,1,1
3775,GA,0,1,1,,0,,5,0,1,7,1,0,0,0,0,0,0,0,,,,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,D,,,1,0,0,1
3776,GA,0,1,1,,0,,7,4,2,11,3,0,0,0,0,0,0,0,,,,,,1,0,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,1,0,,,3,0,1,1
3777,GA,0,1,3,,0,,4,3,2,10,0,0,0,0,0,0,0,0,,,,,,5,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,0,0,0,0,0,1,0,1,0,,,0,,,,1,0,0,0,0,1,1,1,D,0,1,0,1,D,1,1,D,,,,0,1,1
3778,GA,0,1,2,,0,,5,2,2,10,1,0,0,0,0,0,0,0,,,,,,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,,,0,,,,1,0,0,1,0,1,1,0,0,0,1,1,1,1,0,1,0,,,,0,1,1
3779,GA,0,1,1,,0,,5,1,2,4,0,0,0,0,0,0,0,0,,,,,,5,0,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,0,0,1,0,0,0,,,0,,,,1,0,0,1,1,1,0,0,1,0,1,0,1,0,0,1,0,,,,0,1,1
3780,GA,0,1,2,,0,,6,1,2,9,1,0,0,0,0,0,0,0,,,,,,1,0,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,1,1,0,0,0,,,0,,,,1,0,0,0,1,1,0,1,D,0,1,0,1,1,0,1,0,,,,0,1,1
3781,GA,0,1,2,,0,,6,0,2,6,0,0,0,0,0,0,0,0,,,,,,2,0,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,0,1,0,0,0,,,0,,,,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,0,,,4,0,1,1
3782,GA,1,1,1,,0,,7,2,2,10,3,0,0,0,0,0,0,0,,,,,,3,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,1,0,0,0,1,1,0,0,0,1,0,1,1,1,1,0,,,2,0,1,1
3783,GA,0,1,1,,0,,4,1,2,10,0,0,0,0,0,0,0,0,,,,,,2,0,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,0,0,0,0,1,0,1,0,,,0,,,,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,,,1,0,1,1
3784,GA,0,1,1,,0,,2,0,1,3,0,0,0,0,0,0,0,0,,,,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,,,0,,,,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,,,,0,0,M
3785,GA,0,1,1,,0,,7,7,2,14,0,0,0,0,0,0,0,0,,,,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1,1,1,1,1,0,,,0,,,,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,D,,,,0,1,0
3786,GA,0,1,1,,0,,5,0,2,8,1,0,0,0,0,0,0,0,,,,,,3,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,0,,,0,,,,1,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,0,,,1,0,1,1
3787,GA,0,1,1,,0,,5,1,1,6,0,0,0,0,0,0,0,0,,,,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,,,3,0,0,1
3788,GA,1,1,1,,0,,4,2,1,7,0,0,0,0,1,1,1,1,1,1,0,0,0,3,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,,,3,0,1,1
3789,GA,0,1,1,,0,,5,0,1,7,0,0,0,0,0,0,0,0,,,,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,0,,,,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,,,1,0,0,1
3790,GA,0,1,1,,0,,6,1,2,14,1,0,0,0,0,0,0,0,,,,,,3,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,0,,,0,,,,1,0,0,0,1,1,1,0,D,0,1,0,1,1,1,0,0,,,2,0,1,1
3791,GA,0,1,2,,0,,5,5,2,9,2,0,0,0,0,0,0,0,,,,,,1,0,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,1,0,1,0,,,0,,,,1,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,0,,,,0,1,1
3792,GA,0,1,1,,0,,5,1,2,8,2,0,0,0,0,0,0,0,,,,,,3,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,,,,0,1,1
3793,GA,0,1,1,,0,,4,0,2,7,0,0,0,0,0,0,0,0,,,,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,,,1,0,0,1
3794,GA,0,1,1,,0,,6,2,2,8,1,0,0,0,0,0,0,0,,,,,,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,0,1,1,0,1,0,,,0,,,,1,0,0,0,1,1,1,1,0,0,1,0,1,1,1,1,0,,,,0,1,1
3795,GA,0,1,2,,0,,7,1,2,11,1,0,0,0,0,0,0,0,,,,,,M,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,0,,,,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,,,,0,1,1
3796,GA,0,1,1,,0,,4,0,2,5,0,0,0,0,0,0,0,0,,,,,,1,0,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,,,3,0,1,1
3797,GA,1,1,1,,0,,6,1,2,14,3,0,0,0,0,0,0,0,,,,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,0,0,0,1,1,0,1,0,,,0,,,,1,1,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,,,,0,1,1
3798,GA,0,1,1,,0,,5,1,2,8,3,0,0,0,0,0,0,0,,,,,,1,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,0,1,1,1,1,1,0,,,0,,,,1,0,0,0,1,1,0,0,0,0,1,1,1,D,0,1,0,,,3,0,M,1
3799,GA,0,1,1,,0,,6,1,1,7,0,0,0,0,0,0,0,0,,,,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,0,1,0,0,1,1,0,0,0,,,0,,,,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,D,,,,0,M,M
3800,GA,0,1,1,,0,,5,0,2,12,0,0,0,0,0,0,0,0,,,,,,3,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,,,1,0,1,1
3801,GA,0,1,2,,0,,5,0,2,10,0,0,0,0,0,0,0,0,,,,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,,,,0,1,1
3802,GA,0,1,1,,0,,5,0,2,11,1,0,0,0,0,0,0,0,,,,,,2,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0,0,1,0,1,1,1,0,1,0,,,0,,,,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,,,3,0,0,0
3803,GA,1,1,1,,0,,7,4,2,13,0,0,1,1,0,0,0,0,,,,,,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,1,1,0,1,1,1,1,1,0,,,0,,,,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,1,0,,,2,0,M,1
3804,GA,1,1,1,,0,,5,3,2,11,3,0,0,0,0,0,0,0,,,,,,3,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,1,0,0,0,1,0,0,0,0,1,0,1,D,D,D,D,,,,0,1,1
3805,GA,0,1,4,,0,,7,2,2,14,0,0,0,0,0,0,0,0,,,,,,2,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,0,1,1,1,1,0,,,0,,,,1,0,0,0,1,1,1,1,1,0,1,1,1,1,D,1,D,,,,0,1,1
3806,GA,0,1,1,,0,,5,1,1,8,0,0,0,0,0,0,0,0,,,,,,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,,,1,0,0,1
3807,GA,0,1,1,,0,,4,0,2,4,2,0,0,0,0,0,0,0,,,,,,5,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,0,1,1,1,0,0,1,0,1,1,0,1,0,,,1,0,0,1
3808,GA,0,1,1,,0,,7,4,2,9,1,0,0,0,0,0,0,0,,,,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,1,1,1,1,1,1,0,1,0,,,0,,,,1,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1,0,,,1,0,1,M
3809,GA,0,1,1,,0,,7,1,2,9,0,0,0,0,0,0,0,0,,,,,,1,0,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,0,0,0,0,0,1,0,1,0,,,0,,,,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,0,,,,0,1,1
3810,GA,0,1,1,,0,,7,2,2,10,3,0,0,0,0,0,0,0,,,,,,3,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1,1,1,1,1,1,0,1,0,,,0,,,,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,,,,0,1,M
3811,GA,0,1,2,,0,,6,2,2,12,0,0,0,0,0,0,0,0,,,,,,4,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,0,,,0,,,,1,0,0,0,1,1,1,1,0,0,1,0,1,0,1,1,0,,,1,0,0,1
3812,GA,0,1,1,,0,,3,0,1,6,0,0,0,0,0,0,0,0,,,,,,1,0,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,,,1,0,1,1
3813,GA,1,1,1,,0,,6,2,2,11,1,0,0,0,0,0,0,0,,,,,,2,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1,1,1,1,1,0,,,0,,,,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,,,2,0,1,0
3814,GA,0,1,1,,0,,7,1,2,11,0,0,0,0,0,0,0,0,,,,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,,,1,0,1,1
3815,GA,0,1,2,,0,,7,6,2,12,1,0,0,0,0,0,0,0,,,,,,1,0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,1,1,0,0,1,1,1,1,0,,,0,,,,1,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0,,,2,0,1,1
3816,GA,0,1,1,,0,,6,7,2,13,0,0,0,0,0,0,0,0,,,,,,3,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,1,1,1,1,0,0,0,1,0,1,1,0,1,D,,,2,0,1,1
3817,GA,1,1,1,,0,,5,6,2,13,0,0,0,0,1,0,0,1,1,1,1,1,0,2,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,D,,,1,0,1,1
3818,GA,0,1,4,,0,,4,6,2,10,0,0,1,0,0,0,0,0,,,,,,3,0,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,0,0,0,0,1,1,1,0,,,1,0,1,0,0,,,,,,1,1,1,0,1,0,0,0,1,0,D,,5,,0,1,1
3819,GA,0,1,2,,0,,7,4,2,9,1,0,0,0,0,0,0,0,,,,,,4,0,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,D,,,2,0,1,1
3820,GA,1,1,2,,1,1,5,7,2,11,0,0,0,0,0,1,1,0,,,,,,1,0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,,,,1,0,0,1,1,1,0,0,0,0,1,1,1,1,0,1,0,5,,1,0,1,1
3821,GA,0,1,2,,0,,7,5,2,11,0,0,0,1,0,0,0,0,,,,,,3,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,0,0,0,1,0,0,0,0,,,0,,,,1,0,0,0,0,1,1,1,1,0,1,1,1,1,D,1,D,,,,0,1,1
3822,GA,0,1,3,,0,,5,4,2,9,0,0,0,0,0,0,0,0,,,,,,1,0,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,,,3,0,1,1
3823,GA,0,1,3,,0,,6,5,2,9,0,0,0,0,0,0,0,0,,,,,,3,0,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,1,0,0,0,,,0,,,,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,D,,,5,0,1,1
3824,GA,1,0,1,,1,1,5,6,2,7,0,0,1,0,0,0,0,0,,,,,,1,0,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,,,,0,,,,,,0,0,0,0,1,1,1,1,1,1,D,5,,,0,1,1
3825,GA,0,1,4,,0,,5,4,1,10,0,0,0,0,0,0,0,0,,,,,,M,0,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,D,,,1,0,1,1
3826,GA,0,1,3,,0,,7,6,2,16,3,0,0,0,0,0,0,0,,,,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,,,2,0,1,1
3827,GA,0,1,3,,0,,7,4,2,10,0,0,0,0,0,0,1,0,,,,,,4,0,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,0,,,0,,,,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,,,5,0,1,1
3828,GA,1,0,3,,0,,4,5,1,8,0,0,0,0,0,0,0,0,,,,,,1,0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,0,0,0,,,,,,1,1,1,0,1,1,1,0,1,1,D,,1,,0,1,1
3829,GA,0,1,4,,0,,5,1,2,7,1,0,0,0,0,0,0,0,,,,,,M,0,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,0,1,M,M,M,D,D,D,D,D,D,D,D,,,,0,M,M
3830,GA,0,1,3,,0,,7,2,2,12,1,0,0,0,0,0,0,0,,,,,,3,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,0,0,0,0,1,0,0,0,,,0,,,,1,0,0,0,0,1,1,1,D,0,1,1,1,1,1,1,D,,,2,0,1,1
3831,GA,0,1,4,,0,,5,4,2,9,0,0,0,0,0,0,0,0,,,,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,0,1,1,1,D,0,1,1,1,1,1,1,D,,,1,0,1,1
3832,GA,0,1,4,,0,,6,4,2,6,0,0,0,0,0,0,0,0,,,,,,4,0,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,1,1,0,1,0,,,0,,,,1,0,0,0,1,1,1,1,1,0,1,1,1,1,0,0,0,,,3,0,1,1
3833,GA,1,1,1,,1,2,4,7,2,4,0,0,1,1,0,1,0,0,,,,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,,,,1,0,1,1,1,0,0,0,0,0,1,1,0,0,1,1,0,,,,0,1,1
3834,GA,0,1,1,,0,,4,2,2,8,3,0,0,0,0,0,0,0,,,,,,2,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,,,0,,,,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,,,3,0,1,0
