CASEID,STATE,DETOX,TREATMT,OWNERSHP,FEDOWN,HOSPITAL,LOCS,ASSESSMENT,TESTING,TRANSITION,ANCILLARY,OTHER_SRVC,SRVC75,SRVC71,SRVC108,SRVC85,SRVC87,SRVC86,OTP,OTPALL,OPIOIDMAINT,OPIOIDWDRAW,OPIOIDDETOX,OPIOIDNAL,COMPSAT,DUI_DWI,ONLYDUI,SIGNLANG,LANG,LANG16,LANG1,LANG2,LANG3,LANG21,LANG4,LANG5,LANG6,LANG7,LANG8,LANG24,LANG9,LANG10,LANG22,LANG25,LANG26,LANG11,LANG19,LANG23,LANG12,LANG13,LANG14,LANG15,LANG20,LANG17,LANG18,SRVC30,SRVC34,SRVC33,SRVC64,SRVC63,SRVC62,SRVC113,SRVC114,SRVC115,SRVC61,SRVC31,SRVC32,SRVC116,CTYPE4,CTYPEHI1,CTYPEHI2,CTYPE7,CTYPERC1,CTYPERC3,CTYPERC4,CTYPE1,CTYPE6,CTYPEML,CTYPEOP,CTYPE2,CTYPE3,FEESCALE,PAYASST,EARMARK,REVCHK3,REVCHK1,REVCHK8,REVCHK5,REVCHK10,REVCHK15,REVCHK2,REVCHK17,HINUM,RCNUM,OPNUM,LOC5,LICEN,ACCRED
34,AK,0,1,2,,0,,6,1,2,9,0,0,0,0,0,0,0,0,,,,,,1,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,0,1,1,0,0,0,,,0,,,,1,0,0,0,1,1,1,0,1,0,1,0,1,1,D,1,D,,,4,0,1,1
35,AK,0,1,2,,0,,7,2,2,7,0,0,0,0,0,0,0,0,,,,,,1,0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,,,,0,1,1
36,AK,0,1,2,,0,,2,1,1,15,0,1,1,1,0,0,0,0,,,,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,1,0,1,0,0,,,,,,1,1,1,0,1,1,1,1,1,1,1,,2,,0,1,1
37,AK,0,1,6,3,0,,6,0,2,11,1,0,0,0,0,0,0,0,,,,,,3,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,1,0,1,0,,,0,,,,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,,,2,0,1,1
38,AK,0,1,2,,0,,7,0,2,13,2,0,0,0,0,0,0,0,,,,,,2,0,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,0,1,1,0,1,0,1,1,1,0,1,1,0,,,,0,1,1
39,AK,0,1,5,,1,1,6,6,2,15,0,0,0,0,0,0,0,0,,,,,,4,0,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,,2,3,0,1,1
40,AK,0,1,2,,0,,7,1,2,8,0,0,0,0,0,0,0,0,,,,,,2,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,0,,,,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,,,,0,1,1
41,AK,1,1,5,,0,,7,7,2,15,3,0,1,1,0,0,0,0,,,,,,4,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,,,1,0,1,1
42,AK,0,1,2,,0,,4,2,2,4,1,1,0,0,0,0,0,0,,,,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,1,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,1,1,0,,2,1,1,1,1
43,AK,0,1,2,,1,1,6,0,2,11,3,0,0,0,0,0,0,0,,,,,,3,0,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,1,1,1,0,1,0,1,0,1,1,1,1,D,,,1,0,1,1
44,AK,1,1,1,,0,,6,2,2,6,1,0,1,1,0,0,0,0,,,,,,2,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,1,0,1,0,0,0,1,0,,,0,,,,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,,,,0,1,1
45,AK,0,1,5,,0,,7,2,2,14,3,0,0,0,0,0,0,0,,,,,,1,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1,1,1,1,1,1,1,1,0,,,0,,,,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,,,1,0,1,M
46,AK,0,1,1,,0,,3,0,2,3,0,0,0,0,0,0,0,0,,,,,,5,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,0,1,0,0,0,0,1,0,0,D,0,1,0,,,1,0,M,0
